ID,"	Class","	Description"
1,CAP CER 0402,Ceramic Capacitor SMD 0402
2,CAP CER 0603,Ceramic Capacitor SMD 0603
3,CAP CER 0805,Ceramic Capacitor SMD 0805
4,CAP CER 1206,Ceramic Capacitor SMD 1206
5,CAP CER 1210,Ceramic Capacitor SMD 1210
6,CAP CER 1806,Ceramic Capacitor SMD 1806
7,CAP CER 1812,Ceramic Capacitor SMD 1812
8,CAP CER 2220,Ceramic Capacitor SMD 2220
9,CAP TANT 0603,Tantalum Capacitor SMD 0603
10,CAP TANT 0805,Tantalum Capacitor SMD 0805
11,CAP TANT 1206,Tantalum Capacitor SMD 1206
12,CAP TANT 1210,Tantalum Capacitor SMD 1210
13,CAP TANT 1411,Tantalum Capacitor SMD 1411
14,CAP TANT 2312,Tantalum Capacitor SMD 2312
15,CAP TANT 2917,Tantalum Capacitor SMD 2917
16,FB 0603,Ferrite Bead SMD 0603
17,RES 0402,Resistor SMD 0402
18,RES 0603,Resistor SMD 0603
19,RES 0805,Resistor SMD 0805
20,RES 1206,Resistor SMD 1206
21,RES 1210,Resistor SMD 1210
22,RES 2512,Resistor SMD 2512
23,SMD CRYSTAL,SMD CRYSTAL
24,LED 0603,LED SMD 0603
25,SOT-23-3,SOT23-3 Package
26,SOT-23-5,SOT-23-5 Package
27,SOT-23-6,SOT-23-6 Package
28,SOT-23-8,SOT-23-8 Package
29,SOT143,SOT143 Package
30,SOT490,SOT490 Package
31,SOT89-3,SOT89-3 Package
32,SOT223-4,SOT223-4 Package
33,SOT223-5,SOT223-5 Package
34,SOT223-8,SOT223-8 Package
35,LED 4PLCC,LED SMD 4-PLCC
36,QFN,QFN Package
37,Micro-USB-B-RA,Micro USB B Connector Right Angle
38,Mini-USB-B-RA,Mini USB B Connector Right Angle
39,Sensor,On-board Sensors
40,BGA,BGA Package
